,city,page_link,sleeps,area_sqm,bedrooms,bathroom,price,curency
0,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/privas-latin--19080/,4,27,1,1,35,€
1,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/champs-elysees-palace-0907/,4,85,1,2,95,€
2,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/louvre-chatelet-i-0906/,5,38,studio,1,38,€
3,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/mini-bourdonnais-3126/,2,22,studio,1,52,€
4,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/romantic-studio-marais-14679/,2,30,studio,1,90,€
5,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/berthier-terrace-6783/,4,65,2,1,24,€
6,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/louvre-chatelet-iii-0335/,6,50,1,1,37,€
7,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/rue-de-rennes-2610/,2,20,studio,1,52,€
8,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/louvre-chatelet-v-0377/,6,44,1,1,37,€
9,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/louvre-chatelet-vi-0369/,4,38,1,1,45,€
10,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/louvre-chatelet-iv-0375/,6,46,1,1,37,€
11,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/veron-3275/,5,42,1,1,29,€
12,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/privas-latin--19080/,4,27,1,1,35,€
13,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/champs-elysees-palace-0907/,4,85,1,2,95,€
14,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/louvre-chatelet-i-0906/,5,38,studio,1,38,€
15,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/mini-bourdonnais-3126/,2,22,studio,1,52,€
16,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/romantic-studio-marais-14679/,2,30,studio,1,90,€
17,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/berthier-terrace-6783/,4,65,2,1,24,€
18,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/louvre-chatelet-iii-0335/,6,50,1,1,37,€
19,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/rue-de-rennes-2610/,2,20,studio,1,52,€
20,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/louvre-chatelet-v-0377/,6,44,1,1,37,€
21,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/louvre-chatelet-vi-0369/,4,38,1,1,45,€
22,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/louvre-chatelet-iv-0375/,6,46,1,1,37,€
23,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/veron-3275/,5,42,1,1,29,€
24,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/cherche-midi-montonnerre-5248/,2,22,studio,1,46,€
25,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/degas-12801/,4,38,1,1,30,€
26,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/louvre-chatelet-ii-13830/,6,50,1,1,43,€
27,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/le-poeme-du-marais-18936/,4,42,1,1,46,€
28,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/cardinal-lemoine-14172/,4,72,2,1,35,€
29,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/veron-montmartre-4470/,6,70,2,1,27,€
30,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/savoie-stmichel-0455/,6,62,1,1,39,€
31,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/eiffel-qi-garden-0694/,4,80,2,2,65,€
32,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/marais-temple-3881/,3,34,1,1,46,€
33,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/des-arts-opera-0374/,2,34,studio,1,50,€
34,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/ile-saint-louis-18034/,4,36,1,1,42,€
35,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/montorgueil-18046/,4,50,1,1,53,€
36,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/eiffel--23110/,4,75,1,2,56,€
37,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/marais-au-soleil-0892/,3,40,1,1,78,€
38,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/charonne-21--18295/,6,60,2,1,61,€
